編號,學名,中文名,中文別名,英文名,英文別名,科,習性
2482,Hedychium coronarium,薑花,穗花山奈_蝴蝶花_白蝴蝶花,Ginger_Lily,Butterfly_Lily,ZINGIBERACEAE薑科,草本
2484,Fagraea ceilanica,灰莉,華灰莉木,NoInfo,NoInfo,LOGANIACEAE馬錢科,喬木
2489,Narcissus tazetta var. chinensis,水仙,沒資料,Narcissus,Chinese Scared Lily,LILIACEAE百合科,草本
2501,Mirabilis jalapa,紫茉莉,沒資料,Marvel_of_Peru,Four_O_clock,NYCTAGINACEAE紫茉莉科,草本
2504,Ageratum conyzoides,勝紅薊_藿香薊,沒資料,Billygoat-weed,Goatweed,ASTERACEAE菊科,草本
2509,Nelumbo nucifera,荷花,蓮,Indian Lotus,Hindu Lotus,NELUMBONACEAE蓮科,草本
2514,Canna indica,美人蕉,紅花蕉,Indian_Canna,Indian_Shot,CANNACEAE美人蕉科,草本
2522,Laurentia longiflora,同瓣草,沒資料,Star of Bethlehem,Long-flowered Laurentia,CAMPANULACEAE桔梗科,草本
2526,Ipomoea cairica,五爪金龍,沒資料,Gairo_Morning_Glory,Morning-glory,CONVOLVULACEAE旋花科,草本
2531,Anthurium andraeanum Linden,花燭,沒資料,Flamingo-lily,Oil-cloth_Flower,ARACEAE天南星科,草本
2539,Crotalaria pallida var. obovata,豬屎豆,沒資料,Smooth Crotalaria,Rattlebox,FABACEAE蝶形花科,草本
2546,Hymenocallis littoralis,水鬼蕉,蜘蛛蘭,American_Hymenocallis,Spider_Lily,LILIACEAE百合科,草本
2558,Torenia fournieri,藍豬耳,沒資料,Blue_Torenia,Torenia,SCROPHULARIACEAE玄參科,草本
2563,Zephyranthes candida (Lindl.) Herb.,蔥蓮_玉簾,沒資料,Autumn Zephyr-lily,White Zephyr_Flower,LILIACEAE百合科,草本
2587,Bauhinia corymbosa,首冠藤,深裂葉羊蹄甲,Camel_s_Foot,NoInfo,CAESALPINIACEAE蘇木科,攀援
2708,Echinodorus grandiflorus,長象耳草(香港沒收錄),大花皇冠,NoInfo,NoInfo,ALISMATACEAE澤瀉科,多年水生草本
2710,Allamanda violacea,紫蟬,紫花黃蟬,NoInfo,NoInfo,APOCYNACEAE夾竹桃科,藤本
2747,Ipomoea pes-caprae,海灘牽牛,鱟藤_厚藤_馬蹄草_馬鞍藤,NoInfo,NoInfo,CONVOLVULACEAE旋花科,多年生草本
2756,Alpinia zerumbet,豔山薑,沒資料,NoInfo,NoInfo,ZINGIBERACEAE薑科,草本
